Item_ID,Aegis_Name,Display_Name,View_Sprite,Costume_Type,Status
19514,Charlie_Beard,Charlies Beard,700,Head_Low,Removed
19515,Yellow_Hat,Yellow Hat,701,Head_Top,Removed
19516,Singing_Bird,Singing Bird,702,Head_Top,Removed
19517,Cocks_Comb,Chicken Crest,703,Head_Top,Removed
19518,Rainbow,Rainbow,704,Head_Top,Removed
19519,Lightning_Cloud,Thunderstorm Cloud,688,Head_Top,Removed
19520,Rain_Cloud,Rain Cloud,705,Head_Top,Removed
19521,Charlie_Hat,Charlies Hat,706,Head_Top,Removed
19522,Mini_Crown1,Mini Crown,707,Head_Top,Removed
19523,Donation_Ribbon,Green Ribbon,244,Head_Top,Removed
19538,Full_Moon,Full Moon,780,Head_Top,Removed
19543,Oliver_Wolf_Hood,Oliver Wolf Hood,849,Head_Top,Removed
19574,Message_from_Afterlife,Message from Afterlife,742,Head_Top,Removed
19575,Costume_Tiamat_Thd,Costume Tiamat Thd,863,Head_Top,Removed
19577,Dark_Desires_C,Dark Desires C,874,Head_Top,Removed
19600,Costume_Drooping_Kiel,Costume Drooping Kiel,909,Head_Top,Removed
19605,Costume_Gang_Scarf,Costume Gang Scarf,369,Head_Low,Removed
19618,Lost_Identity,Lost Identity,153,Head_Top,Removed
19667,Unstoppable_Spirit,Unstoppable Spirit,464,Head_Top,Removed
19674,Duality_Mask,Duality Mask,714,Head_Low,Removed
19746,Macabre_Presence,Macabre Presence,326,Head_Top,Removed
19880,Costume_Gold_Tiara,Costume Gold Tiara,232,Head_Top,Removed
19938,LI_C_Love_Rabbit_Hood,Costume Love Rabbit Hood,549,Head_Low,Removed
19996,Horse_King,Horse King,1189,Head_Low,Removed
19999,Costume_Batata,Costume Batata,1193,Head_Top,Removed
20041,Costume_Rose_Headband,Costume Rose Headband,864,Head_Top,Removed
20135,Bitter_Freedom,Bitter Freedom,1117,Head_Top,Removed
20148,Repent_and_Forgive,Repent and Forgive,466,Head_Top,Removed
20290,Now_you_see_Me,Now you see Me,1337,Head_Top,Removed
20395,Ascendant_Wisdom,Ascendant Wisdom,1006,Head_Top,Removed
20428,First_Mark_Crown,First Mark Crown,1438,Head_Top,Removed
20727,Brilliant_Golden_Wings,Brilliant Golden Wings,5,Garment,Removed
31057,Costume_Mother_Memory,Costume Mother Memory,1501,Head_Low,Removed
31180,Memory_of_Dominance,Memory of Dominance,1581,Head_Top,Removed
31546,Confidence_in_Madness,Confidence in Madness,1777,Head_Top,Removed
31610,Last_Laugh,Last Laugh,286,Head_Top,Removed
31667,Costume_Poring_Beret,C Poring Beret,1825,Head_Top,Removed
31686,Costume_Desert_Wolf_Baby,C Desert Wolf Baby,1875,Head_Low,Removed
31690,Costume_Flame_Bird,C Flame Bird,16,Head_Top,Removed
31709,Costume_Golden_Violet,C Golden Violet,1886,Head_Top,Removed
31754,Unseen_Show,Unseen Show,1857,Head_Top,Removed
31872,C Extraordinary Sin,C Extraordinary Sin,1970,Head_Top,Removed
31873,C Shinning Kingslayer,C Shinning Kingslayer,1971,Head_Top,Removed
31885,Cons_Of_Earth,Costume Earth Master,1982,Head_Low,Removed
31887,aegis_31887,Costume Pure Scarf,1981,Head_Low,Removed
400046,aegis_400046,Costume Pierced Apple,1952,Head_Top,Removed
400056,CC_Daughter_of_W,CC Daughter of W,1990,Head_Top,Removed
400057,CC_Son_of_W,CC Son of W,1989,Head_Top,Removed
