Item_ID,Aegis_Name,Display_Name,Drop_Type,Target_Item_ID,Rate,Race,Script_Example
5364,Dark_Snake_Lord_Hat,Evil Snake Lord Hat,item,12582,30,All,"bonus2 bAddMonsterDropItem,12582,30"
5368,White_Wing,White Wing,item,12280,300,All,"bonus2 bAddMonsterDropItem,12280,300"
5369,Dark_Wing,Dark Wing,item,12279,300,All,"bonus2 bAddMonsterDropItem,12279,300"
5386,Ayam_,Ayam,item,12198,200,All,"bonus2 bAddMonsterDropItem,12198,200"
5391,Toast_C,Toast,item,617,10,All,"bonus2 bAddMonsterDropItem,617,10"
5472,Red_White_Hat,Red Hat,item,554,200,RC_DemiHuman,"bonus2 bAddMonsterDropItem,554,200"
5473,Forceps_Hairpin,Nipper Crab Hairpin,item,991,100,RC_Fish,"bonus2 bAddMonsterDropItem,991,100"
5536,Spare_Card,Spare Card,item,6187,500,All,"bonus2 bAddMonsterDropItem,6187,500"
5558,Saci_Hat,Luxury Hat,item,510,20,RC_Plant,"bonus2 bAddMonsterDropItem,510,20"
5573,Bogy_Horn,Dokebi Horn,item_group,Jewel,100,All,"bonus2 bAddMonsterDropItemGroup,IG_Jewel,100"
5668,Weird_Pumpkin_Hat,Weird Pumpkin Hat,item,12192,100,All,"bonus2 bAddMonsterDropItem,12192,100"
5675,Poring_Letter,Poring Letter,item,619,10,All,"bonus2 bAddMonsterDropItem,619,10"
5742,Rudolf_Santa_Hat,Rudolph Santa Hat,item,538,100,All,"bonus2 bAddMonsterDropItem,538,100"
5742,Rudolf_Santa_Hat,Rudolph Santa Hat,item,539,100,All,"bonus2 bAddMonsterDropItem,539,100"
5777,Remover_Hat,Remover Hat,item,713,200,RC_Formless,"bonus2 bAddMonsterDropItem,713,200"
5777,Remover_Hat,Remover Hat,item,971,30,RC_Formless,"bonus2 bAddMonsterDropItem,971,30"
5777,Remover_Hat,Remover Hat,item,972,10,RC_Formless,"bonus2 bAddMonsterDropItem,972,10"
5802,Upgrade_Elephant_Hat,Upgraded Elephant Hat,item,608,100,All,"bonus2 bAddMonsterDropItem,608,100"
5902,Harvester_Hat_,Harvester Hat,item,6211,100,All,"bonus2 bAddMonsterDropItem,6211,100"
5902,Harvester_Hat_,Harvester Hat,item,6212,100,All,"bonus2 bAddMonsterDropItem,6212,100"
5902,Harvester_Hat_,Harvester Hat,item,6210,50,All,"bonus2 bAddMonsterDropItem,6210,50"
5934,Happy_Balloon_J,Happy Balloon,item,12355,30,All,"bonus2 bAddMonsterDropItem,12355,30"
15113,Shadow_M_Coat,Shadow M Coat,item,25729,20,All,"bonus2 bAddMonsterDropItem,25729,20"
16001,Red_Square_Bag,Red Square Bag,item,501,50,All,"bonus2 bAddMonsterDropItem,501,50"
16001,Red_Square_Bag,Red Square Bag,item,502,20,All,"bonus2 bAddMonsterDropItem,502,20"
16001,Red_Square_Bag,Red Square Bag,item,503,20,All,"bonus2 bAddMonsterDropItem,503,20"
16001,Red_Square_Bag,Red Square Bag,item,504,20,All,"bonus2 bAddMonsterDropItem,504,20"
16001,Red_Square_Bag,Red Square Bag,item,505,10,All,"bonus2 bAddMonsterDropItem,505,10"
18505,Umbala_Spirit,Umbala Spirit,item,517,500,All,"bonus2 bAddMonsterDropItem,517,500"
18507,Elven_Ears_,Elven Ears,item,522,100,All,"bonus2 bAddMonsterDropItem,522,100"
18527,Gloomy_Pumpkin_Hat,Dark Pumpkin-head,item,12192,10,All,"bonus2 bAddMonsterDropItem,12192,10"
18549,Nabi_Hair_Pin,Butterfly Hairpin,item,709,30,RC_Plant,"bonus2 bAddMonsterDropItem,709,30"
18553,Mini_Tree,Mini Tree,item,12130,900,All,"bonus2 bAddMonsterDropItem,12130,900"
18553,Mini_Tree,Mini Tree,item,12130,400,All,"bonus2 bAddMonsterDropItem,12130,400"
18553,Mini_Tree,Mini Tree,item,12130,100,All,"bonus2 bAddMonsterDropItem,12130,100"
18555,General_Helmet,General Helmet,item,7444,2,RC_Dragon,"bonus2 bAddMonsterDropItem,7444,2"
18565,Leprechaun_Hat,St Patrick's Hat,item,12135,8,All,"bonus2 bAddMonsterDropItem,12135,8"
18589,Strawberry_Hat,Strawberry Hat,item,578,50,All,"bonus2 bAddMonsterDropItem,578,50"
18631,Ribbon_Chef_Hat,Ribbon Chef Hat,item,12125,500,All,"bonus2 bAddMonsterDropItem,12125,500"
18631,Ribbon_Chef_Hat,Ribbon Chef Hat,item,12126,500,All,"bonus2 bAddMonsterDropItem,12126,500"
18631,Ribbon_Chef_Hat,Ribbon Chef Hat,item,12127,400,All,"bonus2 bAddMonsterDropItem,12127,400"
18631,Ribbon_Chef_Hat,Ribbon Chef Hat,item,12128,300,All,"bonus2 bAddMonsterDropItem,12128,300"
18631,Ribbon_Chef_Hat,Ribbon Chef Hat,item,12129,200,All,"bonus2 bAddMonsterDropItem,12129,200"
18646,Cow_Hat,Cow Hat,item,519,100,All,"bonus2 bAddMonsterDropItem,519,100"
18753,Tw_Rice_Ball,Tw Rice Ball,item,564,100,All,"bonus2 bAddMonsterDropItem,564,100"
18758,Hat_Of_Scrat,Hat Of Scrat,item,1032,400,All,"bonus2 bAddMonsterDropItem,1032,400"
18758,Hat_Of_Scrat,Hat Of Scrat,item,1033,100,All,"bonus2 bAddMonsterDropItem,1033,100"
18758,Hat_Of_Scrat,Hat Of Scrat,item,576,40,RC_Plant,"bonus2 bAddMonsterDropItem,576,40"
18850,Polar_Bear_Cap,Polar Bear Cap,item,12354,100,All,"bonus2 bAddMonsterDropItem,12354,100"
18902,Shovel_Hat,Shovel Hat,item,553,500,All,"bonus2 bAddMonsterDropItem,553,500"
19143,Poring_Balloon,Poring Balloon,item,909,2000,All,"bonus2 bAddMonsterDropItem,909,2000"
19168,Band_Of_Kafra_,Kafra Staff Headband,item,23177,10,All,"bonus2 bAddMonsterDropItem,23177,10"
19168,Band_Of_Kafra_,Kafra Staff Headband,item,7059,10,All,"bonus2 bAddMonsterDropItem,7059,10"
19168,Band_Of_Kafra_,Kafra Staff Headband,item,7060,10,All,"bonus2 bAddMonsterDropItem,7060,10"
19407,Work_Cap,Work Cap,item,732,10,All,"bonus2 bAddMonsterDropItem,732,10"
19580,C_Sphinx_Helm,Costume Sphinx Helm,item,6614,50,All,"bonus2 bAddMonsterDropItem,6614,50"
19854,C_Ear_Of_Black_Cat_,Costume Black Cat Ears,item,11589,5,All,"bonus2 bAddMonsterDropItem,11589,5"
19874,C_Carnival_Circlet,Costume Carnival Circlet,item,6658,300,All,"bonus2 bAddMonsterDropItem,6658,300"
19910,C_Halloween_Hat,Costume Halloween Hat,item,6658,300,All,"bonus2 bAddMonsterDropItem,6658,300"
20012,C_Double_Horn_Helm,Costume Double Horn Helm,item,519,100,All,"bonus2 bAddMonsterDropItem,519,100"
20026,C_Cow_Hat2,Costume Cow Hat 2,item,519,100,All,"bonus2 bAddMonsterDropItem,519,100"
20027,C_Cow_Hat3,Costume Cow Hat 3,item,519,100,All,"bonus2 bAddMonsterDropItem,519,100"
20028,C_Cow_Hat4,Costume Cow Hat 4,item,519,100,All,"bonus2 bAddMonsterDropItem,519,100"
20155,C_Ladys_Feather_Hat,Costume Lady's Feather Hat,item,6658,300,All,"bonus2 bAddMonsterDropItem,6658,300"
24310,Mining_A,Mining A,item,984,5,All,"bonus2 bAddMonsterDropItem,984,5"
24310,Mining_A,Mining A,item,985,5,All,"bonus2 bAddMonsterDropItem,985,5"
24311,Mining_G,Mining G,item,984,5,All,"bonus2 bAddMonsterDropItem,984,5"
24311,Mining_G,Mining G,item,985,5,All,"bonus2 bAddMonsterDropItem,985,5"
24312,Mining_S,Mining S,item,984,5,All,"bonus2 bAddMonsterDropItem,984,5"
24312,Mining_S,Mining S,item,985,5,All,"bonus2 bAddMonsterDropItem,985,5"
24313,Mining_P,Mining P,item,984,5,All,"bonus2 bAddMonsterDropItem,984,5"
24313,Mining_P,Mining P,item,985,5,All,"bonus2 bAddMonsterDropItem,985,5"
28429,Arquien's_Necklace,Arquien's Necklace,item,529,2000,All,"bonus2 bAddMonsterDropItem,529,2000"
28429,Arquien's_Necklace,Arquien's Necklace,item,530,2000,All,"bonus2 bAddMonsterDropItem,530,2000"
28429,Arquien's_Necklace,Arquien's Necklace,item,573,150,All,"bonus2 bAddMonsterDropItem,573,150"
31762,Costume_Gambler_Card,C Heart Card in Mouth,item,6658,300,All,"bonus2 bAddMonsterDropItem,6658,300"
31770,C_Vampire_Tie,C Vampire Tie,item,6658,300,All,"bonus2 bAddMonsterDropItem,6658,300"
31771,C_Witching_Hat,C Witching Hat,item,6658,300,All,"bonus2 bAddMonsterDropItem,6658,300"
4149,Gargoyle_Card,Gargoyle Card,item,12028,100,RC_Insect,"bonus2 bAddMonsterDropItem,12028,100"
4152,Galapago_Card,Galapago Card,item,531,300,RC_Insect,"bonus2 bAddMonsterDropItem,531,300"
4152,Galapago_Card,Galapago Card,item,532,300,RC_Insect,"bonus2 bAddMonsterDropItem,532,300"
4152,Galapago_Card,Galapago Card,item,534,300,RC_Insect,"bonus2 bAddMonsterDropItem,534,300"
4154,Rice_Cake_Boy_Card,Dumpling Child Card,item,529,300,RC_DemiHuman,"bonus2 bAddMonsterDropItem,529,300"
4154,Rice_Cake_Boy_Card,Dumpling Child Card,item,530,100,RC_DemiHuman,"bonus2 bAddMonsterDropItem,530,100"
4177,Dryad_Card,Dryad Card,item,993,100,RC_Plant,"bonus2 bAddMonsterDropItem,993,100"
4187,Raydric_Archer_Card,Raydric Archer Card,item,12030,100,RC_Demon,"bonus2 bAddMonsterDropItem,12030,100"
4188,Leib_Olmai_Card,Leib Olmai Card,item,990,100,RC_Brute,"bonus2 bAddMonsterDropItem,990,100"
4190,Wraith_Card,Wraith Card,item,12027,100,RC_Undead,"bonus2 bAddMonsterDropItem,12027,100"
4195,Leaf_Cat_Card,Leaf Cat Card,item,991,100,RC_Fish,"bonus2 bAddMonsterDropItem,991,100"
4196,Marin_Card,Marin Card,item,909,2000,All,"bonus2 bAddMonsterDropItem,909,2000"
4196,Marin_Card,Marin Card,item,7126,10,All,"bonus2 bAddMonsterDropItem,7126,10"
4205,Mimic_Card,Mimic Card,item,603,10,All,"bonus2 bAddMonsterDropItem,603,10"
4206,Mystcase_Card,Myst Case Card,item,644,30,All,"bonus2 bAddMonsterDropItem,644,30"
4215,Blazzer_Card,Blazer Card,item_group,Food,600,All,"bonus2 bAddMonsterDropItemGroup,IG_Food,600"
4219,Sageworm_Card,Sage Worm Card,item,715,30,All,"bonus2 bAddMonsterDropItem,715,30"
4219,Sageworm_Card,Sage Worm Card,item,716,30,All,"bonus2 bAddMonsterDropItem,716,30"
4219,Sageworm_Card,Sage Worm Card,item,717,30,All,"bonus2 bAddMonsterDropItem,717,30"
4224,Stem_Worm_Card,Stem Worm Card,item,12032,100,RC_Brute,"bonus2 bAddMonsterDropItem,12032,100"
4227,Spring_Rabbit_Card,Spring Rabbit Card,item,517,200,RC_Brute,"bonus2 bAddMonsterDropItem,517,200"
4227,Spring_Rabbit_Card,Spring Rabbit Card,item,528,200,RC_Brute,"bonus2 bAddMonsterDropItem,528,200"
4228,Sleeper_Card,Sleeper Card,item,12031,100,RC_Fish,"bonus2 bAddMonsterDropItem,12031,100"
4232,Wild_Ginseng_Card,Hermit Plant Card,item,507,300,RC_Plant,"bonus2 bAddMonsterDropItem,507,300"
4232,Wild_Ginseng_Card,Hermit Plant Card,item,508,200,RC_Plant,"bonus2 bAddMonsterDropItem,508,200"
4232,Wild_Ginseng_Card,Hermit Plant Card,item,509,100,RC_Plant,"bonus2 bAddMonsterDropItem,509,100"
4256,Orc_Archer_Card,Orc Archer Card,item,12034,100,RC_DemiHuman,"bonus2 bAddMonsterDropItem,12034,100"
4262,Evil_Cloud_Hermit_Card,Cloud Hermit Card,item,12029,100,RC_Plant,"bonus2 bAddMonsterDropItem,12029,100"
4265,Li_Me_Mang_Ryang_Card,Jing Guai Card,item,12033,100,RC_Angel,"bonus2 bAddMonsterDropItem,12033,100"
4271,Giant_Honet_Card,Giant Hornet Card,item,992,100,RC_Insect,"bonus2 bAddMonsterDropItem,992,100"
4282,Tengu_Card,Tengu Card,item_group,Recovery,600,All,"bonus2 bAddMonsterDropItemGroup,IG_Recovery,600"
4326,See_Otter_Card,Sea-Otter Card,item,551,300,RC_Fish,"bonus2 bAddMonsterDropItem,551,300"
4326,See_Otter_Card,Sea-Otter Card,item,544,300,RC_Fish,"bonus2 bAddMonsterDropItem,544,300"
4344,Anopheles_Card,Anopheles Card,item,12058,50,RC_Insect,"bonus2 bAddMonsterDropItem,12058,50"
4347,Armaia_Card,Armeyer Dinze Card,item,12053,50,RC_Fish,"bonus2 bAddMonsterDropItem,12053,50"
4355,Gremlin_Card,Gremlin Card,item,12043,50,RC_Brute,"bonus2 bAddMonsterDropItem,12043,50"
4376,Lady_Tanee_Card,Lady Tanee Card,item,513,200,All,"bonus2 bAddMonsterDropItem,513,200"
4377,Green_Iguana_Card,Grove Card,item,12063,50,RC_Formless,"bonus2 bAddMonsterDropItem,12063,50"
4385,Dragon_Egg_Card,Dragon Egg Card,item,12048,50,RC_Dragon,"bonus2 bAddMonsterDropItem,12048,50"
4389,Plasma_Card,Plasma Card,item,12118,50,All,"bonus2 bAddMonsterDropItem,12118,50"
4389,Plasma_Card,Plasma Card,item,12119,50,All,"bonus2 bAddMonsterDropItem,12119,50"
4389,Plasma_Card,Plasma Card,item,12120,50,All,"bonus2 bAddMonsterDropItem,12120,50"
4389,Plasma_Card,Plasma Card,item,12121,50,All,"bonus2 bAddMonsterDropItem,12121,50"
4391,Retribution_Card,Baroness of Retribution Card,item,12068,50,RC_Angel,"bonus2 bAddMonsterDropItem,12068,50"
4415,Snowier_Card,Snowier Card,item,536,2000,All,"bonus2 bAddMonsterDropItem,536,2000"
4434,Knocker_Card,Knocker Card,item,756,10,RC_Formless,"bonus2 bAddMonsterDropItem,756,10"
4434,Knocker_Card,Knocker Card,item,757,10,RC_Formless,"bonus2 bAddMonsterDropItem,757,10"
1142,Jewel_Sword,Jeweled Sword,item_group,Jewel,100,All,"bonus2 bAddMonsterDropItemGroup,IG_Jewel,100"
1143,Gaia_Sword,Gaia Sword,item_group,Ore,30,All,"bonus2 bAddMonsterDropItemGroup,IG_Ore,30"
1144,Sasimi,Sashimi,item,544,4000,RC_Fish,"bonus2 bAddMonsterDropItem,544,4000"
1229,Mama's_Knife,Kitchen Knife,item,517,5000,RC_Brute,"bonus2 bAddMonsterDropItem,517,5000"
1301,Axe,Axe,item,517,3000,RC_Brute,"bonus2 bAddMonsterDropItem,517,3000"
1422,Hunting_Spear,Hunting Spear,item,517,1000,RC_Brute,"bonus2 bAddMonsterDropItem,517,1000"
1429,Hunting_Spear_M,Hunting Spear,item,517,1000,RC_Brute,"bonus2 bAddMonsterDropItem,517,1000"
1544,Lunakaligo,Lunakaligo,item,12065,500,RC_Plant,"bonus2 bAddMonsterDropItem,12065,500"
1544,Lunakaligo,Lunakaligo,item,12043,500,RC_Brute,"bonus2 bAddMonsterDropItem,12043,500"
1544,Lunakaligo,Lunakaligo,item,12069,500,RC_Fish,"bonus2 bAddMonsterDropItem,12069,500"
1724,Dragon_Wing,Dragon Wing,item,1765,300,RC_Dragon,"bonus2 bAddMonsterDropItem,1765,300"
1732,Earth_Bow,Earth Bow,item,1753,200,All,"bonus2 bAddMonsterDropItem,1753,200"
2676,Hunter_Earring,Hunter's Earring,item,7618,100,All,"bonus2 bAddMonsterDropItem,7618,100"
2705,Golden_Accessory2,Golden Accessories,item,12018,500,All,"bonus2 bAddMonsterDropItem,12018,500"
5105,Hat_Of_Cake_,2nd Anniversary Hat,item,7864,7,All,"bonus2 bAddMonsterDropItem,7864,7"
5105,Hat_Of_Cake_,2nd Anniversary Hat,item,7864,7,All,"bonus2 bAddMonsterDropItem,7864,7"
5107,Well_Baked_Toast,Crunch Toast,item,605,100,All,"bonus2 bAddMonsterDropItem,605,100"
5204,Event_Pierrot_Nose,Rudolph's Nose,item,12130,30,All,"bonus2 bAddMonsterDropItem,12130,30"
5368,White_Wing,White Wing,item,12280,300,All,"bonus2 bAddMonsterDropItem,12280,300"
5369,Dark_Wing,Dark Wing,item,12279,300,All,"bonus2 bAddMonsterDropItem,12279,300"
5386,Ayam_,Ayam,item,12198,200,All,"bonus2 bAddMonsterDropItem,12198,200"
5391,Toast_C,Toast,item,617,10,All,"bonus2 bAddMonsterDropItem,617,10"
5403,Fish_In_Mouth,Fish In Mouth,item,579,500,All,"bonus2 bAddMonsterDropItem,579,500"
5527,Lunatic_Hat,Lunatic Hat,item,622,50,All,"bonus2 bAddMonsterDropItem,622,50"
5536,Spare_Card,Spare Card,item,6187,1000,All,"bonus2 bAddMonsterDropItem,6187,1000"
5558,Saci_Hat,Luxury Hat,item,510,500,RC_Plant,"bonus2 bAddMonsterDropItem,510,500"
5738,Snowman_Hat,Snowman Hat,item,530,100,All,"bonus2 bAddMonsterDropItem,530,100"
5738,Snowman_Hat,Snowman Hat,item,12354,300,All,"bonus2 bAddMonsterDropItem,12354,300"
5802,Upgrade_Elephant_Hat,Upgraded Elephant Hat,item,608,100,All,"bonus2 bAddMonsterDropItem,608,100"
16001,Red_Square_Bag,Red Square Bag,item,501,50,All,"bonus2 bAddMonsterDropItem,501,50"
16001,Red_Square_Bag,Red Square Bag,item,502,20,All,"bonus2 bAddMonsterDropItem,502,20"
16001,Red_Square_Bag,Red Square Bag,item,503,20,All,"bonus2 bAddMonsterDropItem,503,20"
16001,Red_Square_Bag,Red Square Bag,item,504,20,All,"bonus2 bAddMonsterDropItem,504,20"
16001,Red_Square_Bag,Red Square Bag,item,505,10,All,"bonus2 bAddMonsterDropItem,505,10"
1998,Jeramiah's_Jur,Jeramiah's Jur,item,12130,30,All,"bonus2 bAddMonsterDropItem,12130,30"
1998,Jeramiah's_Jur,Jeramiah's Jur,item,539,100,All,"bonus2 bAddMonsterDropItem,539,100"
1998,Jeramiah's_Jur,Jeramiah's Jur,item,529,200,All,"bonus2 bAddMonsterDropItem,529,200"
1998,Jeramiah's_Jur,Jeramiah's Jur,item,530,200,All,"bonus2 bAddMonsterDropItem,530,200"
1998,Jeramiah's_Jur,Jeramiah's Jur,item,12192,2500,All,"bonus2 bAddMonsterDropItem,12192,2500"
1998,Jeramiah's_Jur,Jeramiah's Jur,item,529,1500,RC_DemiHuman,"bonus2 bAddMonsterDropItem,529,1500"
